"Line","Name","OriginName","Opened","Elev","Lat","Lon","X","Y"
"4","Pionerskaya","Пионерская","13/10/1961","0","55.736","37.4671","96","442"
"4","Filyovsky Park","Филёвский парк","13/10/1961","0","55.7396","37.4833","96","461"
"4","Bagrationovskaya","Багратионовская","13/10/1961","0","55.7438","37.4977","96","555"
"4","Fili","Фили","07/11/1959","0","55.746","37.515","96","574"
"4","Kutuzovskaya","Кутузовская","07/11/1958","0","55.7399","37.5344","198","596"
"4","Studencheskaya","Студенческая","07/11/1958","0","55.7388","37.5483","222","572"
"4","Mezhdunarodnaya","Международная","30/08/2006","-25","55.7483","37.5339","176","506"
"4","Vystavochnaya","Выставочная","10/09/2005","-25","55.7502","37.5408","229","506"
"4","Kiyevskaya","Киевская","20/03/1937","-8.7","55.7436","37.5655","301","506"
"4","Smolenskaya","Смоленская","15/05/1935","-8","55.7488","37.5825","370","506"
"4","Arbatskaya","Арбатская","15/05/1935","-8","55.7518","37.6007","405","512"
"4","Aleksandrovsky Sad","Александровский сад","15/05/1935","-7","55.7525","37.6085","444","552"
"5","Kiyevskaya","Киевская","14/03/1954","-48","55.7446","37.5644","324","519"
"5","Krasnopresnenskaya","Краснопресненская","14/03/1954","-35.5","55.7613","37.5774","326","456"
"5","Belorusskaya","Белорусская","30/01/1952","-42.5","55.7764","37.5844","357","387"
"5","Novoslobodskaya","Новослободская","30/01/1952","-40","55.7799","37.6028","447","317"
"5","Prospekt Mira","Проспект Мира","30/01/1952","-40","55.7798","37.6318","583","320"
"5","Komsomolskaya","Комсомольская","30/01/1952","-37","55.7748","37.6549","659","376"
"5","Kurskaya","Курская","01/01/1950","-40","55.757","37.6595","694","442"
"5","Taganskaya","Таганская","01/01/1950","-53","55.7418","37.6517","684","572"
"5","Paveletskaya","Павелецкая","01/01/1950","-40","55.7318","37.6379","593","664"
"5","Dobryninskaya","Добрынинская","01/01/1950","-35.5","55.7291","37.6243","472","679"
"5","Oktyabrskaya","Октябрьская","01/01/1950","-40","55.7297","37.6091","401","648"
"5","Park Kultury","Парк культуры","01/01/1950","-40","55.7357","37.5915","355","599"
"6","Medvedkovo","Медведково","30/09/1978","-10","55.8872","37.6613","622","80"
"6","Babushkinskaya","Бабушкинская","30/09/1978","-10","55.8694","37.6644","622","107"
"6","Sviblovo","Свиблово","30/09/1978","-8","55.8552","37.6527","622","134"
"6","Botanichesky Sad","Ботанический сад","30/09/1978","-7","55.8449","37.6383","622","159"
"6","VDNKh","ВДНХ","01/05/1958","-53.5","55.8211","37.6411","622","239"
"6","Alekseyevskaya","Алексеевская","01/05/1958","-51","55.8088","37.639","622","260"
"6","Rizhskaya","Рижская","01/05/1958","-46","55.7936","37.6362","616","274"
"6","Prospekt Mira","Проспект Мира","01/05/1958","-50","55.7812","37.6318","584","306"
"6","Sukharevskaya","Сухаревская","05/01/1972","-43","55.7733","37.6319","562","358"
"6","Turgenevskaya","Тургеневская","05/01/1972","-49","55.7661","37.6374","589","413"
"6","Kitay-gorod","Китай-город","03/01/1971","-29","55.7553","37.6333","605","488"
"6","Tretyakovskaya","Третьяковская","03/01/1971","-46","55.7412","37.6274","568","598"
"6","Oktyabrskaya","Октябрьская","13/10/1962","-50","55.7306","37.6112","401","663"
"6","Shabolovskaya","Шаболовская","06/11/1980","-46.5","55.7198","37.6083","373","692"
"6","Leninsky Prospekt","Ленинский проспект","13/10/1962","-16","55.7077","37.5861","338","758"
"6","Akademicheskaya","Академическая","13/10/1962","-8.5","55.6877","37.5733","338","809"
"6","Profsoyuznaya","Профсоюзная","13/10/1962","-7","55.678","37.5627","337","833"
"6","Novye Cheryomushki","Новые Черёмушки","13/10/1962","-7","55.6702","37.5544","338","857"
"6","Kaluzhskaya","Калужская","12/08/1974","-10","55.6571","37.5405","338","880"
"6","Belyayevo","Беляево","12/08/1974","-12","55.6428","37.5257","338","905"
"6","Konkovo","Коньково","06/11/1987","-8","55.6333","37.5188","338","929"
"6","Tyoply Stan","Тёплый Стан","06/11/1987","-8","55.6191","37.5082","338","953"
"6","Yasenevo","Ясенево","17/01/1990","-8","55.6063","37.5333","338","976"
"6","Novoyasenevskaya","Новоясеневская","17/01/1990","-7","55.601","37.5541","350","1000"
"7","Planernaya","Планерная","30/12/1975","-6","55.8607","37.4364","",""
"7","Skhodnenskaya","Сходненская","30/12/1975","-6","55.8505","37.4396","",""
"7","Tushinskaya","Тушинская","30/12/1975","-10.5","55.8267","37.4368","",""
"7","Spartak","Спартак","27/08/2014","-10","55.8182","37.4352","",""
"7","Shchukinskaya","Щукинская","30/12/1975","-13","55.8086","37.4641","",""
"7","Oktyabrskoye Pole","Октябрьское поле","30/12/1972","-11","55.7935","37.4935","",""
"7","Polezhayevskaya","Полежаевская","30/12/1972","-10","55.7775","37.5192","",""
"7","Begovaya","Беговая","30/12/1972","-9","55.7738","37.5468","",""
"7","Ulitsa 1905 Goda","Улица 1905 года","30/12/1972","-11","55.765","37.5613","",""
"7","Barrikadnaya","Баррикадная","30/12/1972","-30","55.7612","37.5795","",""
"7","Pushkinskaya","Пушкинская","17/12/1975","-51","55.765","37.6079","",""
"7","Kuznetsky Most","Кузнецкий мост","17/12/1975","-39.5","55.7606","37.6259","",""
"7","Kitay-gorod","Китай-город","03/01/1971","-29","55.7553","37.6333","",""
"7","Taganskaya","Таганская","31/12/1966","-36","55.7402","37.6522","",""
"7","Proletarskaya","Пролетарская","31/12/1966","-9","55.7319","37.6659","",""
"7","Volgogradsky Prospekt","Волгоградский проспект","31/12/1966","-8","55.7253","37.6869","",""
"7","Tekstilshchiki","Текстильщики","31/12/1966","-13","55.7088","37.7316","",""
"7","Kuzminki","Кузьминки","31/12/1966","-8","55.7056","37.7656","",""
"7","Ryazansky Prospekt","Рязанский проспект","31/12/1966","-6","55.717","37.7933","",""
"7","Vykhino","Выхино","31/12/1966","0","55.7156","37.8181","",""
"7","Lermontovsky Prospekt","Лермонтовский проспект","09/11/2013","-12","55.7013","37.8525","",""
"7","Zhulebino","Жулебино","09/11/2013","-15","55.6855","37.8563","",""
"7","Kotelniki","Котельники","21/09/2015","-15","55.6743","37.8582","",""
"8A","Ramenki","Раменки","16/03/2017","-15","55.6975","37.4984","",""
"8A","Lomonosovsky Prospekt","Ломоносовский проспект","16/03/2017","-15","55.7069","37.5156","",""
"8A","Minskaya","Минская","16/03/2017","-15","55.7246","37.497","",""
"8A","Park Pobedy","Парк Победы","06/05/2003","-73.6","55.7362","37.5182","",""
"8","Tretyakovskaya","Третьяковская","25/01/1986","-46","55.7412","37.6274","",""
"8","Marksistskaya","Марксистская","30/12/1979","-60","55.7411","37.6543","",""
"8","Ploshchad Ilyicha","Площадь Ильича","30/12/1979","-46","55.7472","37.6824","",""
"8","Aviamotornaya","Авиамоторная","30/12/1979","-53","55.7524","37.7191","",""
"8","Shosse Entuziastov","Шоссе Энтузиастов","30/12/1979","-53","55.7576","37.75","",""
"8","Perovo","Перово","30/12/1979","-9","55.7511","37.7866","",""
"8","Novogireyevo","Новогиреево","30/12/1979","-9","55.7517","37.8166","",""
"8","Novokosino","Новокосино","30/08/2012","-9","55.7451","37.8638","",""
"9","Altufyevo","Алтуфьево","15/07/1994","-9","55.898","37.587","",""
"9","Bibirevo","Бибирево","31/12/1992","-9.5","55.8838","37.6034","",""
"9","Otradnoye","Отрадное","01/03/1991","-9","55.8633","37.6047","",""
"9","Vladykino","Владыкино","01/03/1991","-10.5","55.8473","37.5899","",""
"9","Petrovsko-Razumovskaya","Петровско-Разумовская","01/03/1991","-61","55.8351","37.5745","",""
"9","Timiryazevskaya","Тимирязевская","01/03/1991","-63.5","55.8176","37.5765","",""
"9","Dmitrovskaya","Дмитровская","01/03/1991","-59","55.8069","37.5817","",""
"9","Savyolovskaya","Савёловская","31/12/1988","-52","55.7927","37.5885","",""
"9","Mendeleyevskaya","Менделеевская","31/12/1988","-48.5","55.781","37.6011","",""
"9","Tsvetnoy Bulvar","Цветной бульвар","31/12/1988","-50","55.7708","37.6187","",""
"9","Chekhovskaya","Чеховская","31/12/1987","-62","55.7644","37.6097","",""
"9","Borovitskaya","Боровицкая","23/01/1986","-46.5","55.7511","37.6072","",""
"9","Polyanka","Полянка","23/01/1986","-36.5","55.7379","37.618","",""
"9","Serpukhovskaya","Серпуховская","08/11/1983","-43","55.728","37.6246","",""
"9","Tulskaya","Тульская","08/11/1983","-9.5","55.7087","37.6229","",""
"9","Nagatinskaya","Нагатинская","08/11/1983","-13.5","55.683","37.6224","",""
"9","Nagornaya","Нагорная","08/11/1983","-9","55.6724","37.6104","",""
"9","Nakhimovsky Prospekt","Нахимовский проспект","08/11/1983","-9.5","55.6627","37.6055","",""
"9","Sevastopolskaya","Севастопольская","08/11/1983","-13","55.6524","37.5984","",""
"9","Chertanovskaya","Чертановская","08/11/1983","-10.5","55.6405","37.6067","",""
"9","Yuzhnaya","Южная","08/11/1983","-10","55.6224","37.609","",""
"9","Prazhskaya","Пражская","06/11/1985","-9.5","55.6124","37.6044","",""
"9","Ulitsa Akademika Yangelya","Улица академика Янгеля","31/08/2000","-8","55.5949","37.6004","",""
"9","Annino","Аннино","12/12/2001","-8","55.5828","37.5966","",""
"9","Bulvar Dmitriya Donskogo","Бульвар Дмитрия Донского","26/12/2002","-10","55.5693","37.5769","",""
"10","Seligerskaya","Селигерская","22/03/2018","-20","55.865","37.548333","",""
"10","Verkhnie Likhobory","Верхние Лихоборы","22/03/2018","-65","55.855833","37.561111","",""
"10","Okruzhnaya","Окружная","22/03/2018","-65","55.846","37.57425","",""
"10","Petrovsko-Razumovskaya","Петровско-Разумовская","01/03/1991","-61","55.8351","37.5745","",""
"10","Fonvizinskaya","Фонвизинская","16/09/2016","-65","55.8228","37.5881","",""
"10","Butyrskaya","Бутырская","16/09/2016","-60","55.8133","37.6028","",""
"10","Maryina Roshcha","Марьина Роща","19/06/2010","-60","55.7954","37.6162","",""
"10","Dostoyevskaya","Достоевская","19/06/2010","-60","55.7816","37.6151","",""
"10","Trubnaya","Трубная","30/08/2007","-60","55.7688","37.62","",""
"10","Sretensky Bulvar","Сретенский бульвар","29/12/2007","-60","55.7668","37.6392","",""
"10","Chkalovskaya","Чкаловская","28/12/1995","-51","55.7565","37.6573","",""
"10","Rimskaya","Римская","28/12/1995","-54","55.7463","37.6819","",""
"10","Krestyanskaya Zastava","Крестьянская застава","28/12/1995","-47","55.7331","37.6673","",""
"10","Dubrovka","Дубровка","11/12/1999","-62","55.7186","37.676","",""
"10","Kozhukhovskaya","Кожуховская","28/12/1995","-12","55.7074","37.6851","",""
"10","Pechatniki","Печатники","28/12/1995","-4","55.6934","37.727","",""
"10","Volzhskaya","Волжская","28/12/1995","-8","55.6909","37.753","",""
"10","Lyublino","Люблино","25/12/1996","-8","55.6758","37.7618","",""
"10","Bratislavskaya","Братиславская","25/12/1996","-8","55.6597","37.7505","",""
"10","Maryino","Марьино","25/12/1996","-8","55.65","37.7431","",""
"10","Borisovo","Борисово","02/12/2011","-10","55.6334","37.7436","",""
"10","Shipilovskaya","Шипиловская","02/12/2011","-10","55.6211","37.7437","",""
"10","Zyablikovo","Зябликово","02/12/2011","-15","55.6124","37.7453","",""
"11","Delovoy Tsentr","Деловой центр","26/02/2018","-30","55.7472","37.5322","",""
"11","Shelepikha","Шелепиха","26/02/2018","-18","55.4527","37.3126","",""
"11","Khoroshyovskaya","Хорошёвская","26/02/2018","-21","55.4636","37.3195","",""
"11","CSKA (Moscow Metro)","ЦСКА","26/02/2018","-28","55.4712","37.32","",""
"11","Petrovsky Park","Петровский парк","26/02/2018","-25","55.4733","37.3328","",""
"11A","Kashirskaya","Каширская","11/08/1969","-7","55.6551","37.6487","",""
"11A","Varshavskaya","Варшавская","11/08/1969","-9","55.6533","37.6194","",""
"11A","Kakhovskaya","Каховская","11/08/1969","-8","55.653","37.5983","",""
"12","Bittsevsky Park","Битцевский парк","27/02/2014","-10","55.6004","37.5562","",""
"12","Lesoparkovaya","Лесопарковая","27/02/2014","-10","55.5821","37.5769","",""
"12","Ulitsa Starokachalovskaya","Улица Старокачаловская","27/12/2003","-10","55.569","37.5767","",""
"12","Ulitsa Skobelevskaya","Улица Скобелевская","27/12/2003","9.6","55.5481","37.5546","",""
"12","Bulvar Admirala Ushakova","Бульвар Адмирала Ушакова","27/12/2003","9.6","55.5455","37.543","",""
"12","Ulitsa Gorchakova","Улица Горчакова","27/12/2003","9.6","55.5418","37.5308","",""
"12","Buninskaya Alleya","Бунинская аллея","27/12/2003","9.6","55.538","37.5158","",""
"13","Timiryazevskaya","Тимирязевская","20/11/2004","6","55.819","37.5789","",""
"13","Ulitsa Milashenkova","Улица Милашенкова","20/11/2004","6","55.8218","37.5911","",""
"13","Teletsentr","Телецентр","20/11/2004","6","55.8218","37.6089","",""
"13","Ulitsa Akademika Korolyova","Улица Академика Королёва","20/11/2004","12","55.8218","37.6269","",""
"13","Vystavochny Tsentr","Выставочный центр","20/11/2004","6","55.824","37.6383","",""
"13","Ulitsa Sergeya Eyzenshteyna","Улица Сергея Эйзенштейна","20/11/2004","6","55.8292","37.5919","",""
"14","Okruzhnaya","Окружная","10/09/2016","0","55.8472","37.5694","",""
"14","Vladykino","Владыкино","10/09/2016","0","55.8476","37.593","",""
"14","Botanichesky Sad","Ботанический сад","10/09/2016","0","55.846","37.6413","",""
"14","Rostokino","Ростокино","10/09/2016","0","55.84","37.6653","",""
"14","Belokamennaya","Белокаменная","10/09/2016","0","55.83","37.7006","",""
"14","Bulvar Rokossovskogo","Бульвар Рокоссовского","10/09/2016","0","55.8172","37.7369","",""
"14","Lokomotiv","Локомотив","10/09/2016","0","55.8039","37.746","",""
"14","Izmaylovo","Измайлово","10/09/2016","0","55.7886","37.7428","",""
"14","Sokolinaya Gora","Соколиная гора","11/10/2016","0","55.7714","37.7451","",""
"14","Shosse Entuziastov","Шоссе Энтузиастов","10/09/2016","0","55.759","37.7463","",""
"14","Andronovka","Андроновка","10/09/2016","0","55.7411","37.7344","",""
"14","Nizhegorodskaya","Нижегородская","10/09/2016","0","55.7322","37.7282","",""
"14","Novokhokhlovskaya","Новохохловская","10/09/2016","0","55.7239","37.7161","",""
"14","Ugreshskaya","Угрешская","10/09/2016","0","55.7183","37.6978","",""
"14","Dubrovka","Дубровка","11/10/2016","0","55.7183","37.6978","",""
"14","Avtozavodskaya","Автозаводская","10/09/2016","0","55.7063","37.6631","",""
"14","ZIL","ЗИЛ","10/09/2016","0","55.6983","37.6483","",""
"14","Verkhnie Kotly","Верхние Котлы","10/09/2016","0","55.69","37.6189","",""
"14","Krymskaya","Крымская","10/09/2016","0","55.69","37.605","",""
"14","Ploshchad Gagarina","Площадь Гагарина","10/09/2016","0","55.7069","37.5858","",""
"14","Luzhniki","Лужники","10/09/2016","0","55.7203","37.5631","",""
"14","Kutuzovskaya","Кутузовская","10/09/2016","0","55.7408","37.5333","",""
"14","Delovoy Tsentr","Деловой центр","10/09/2016","0","55.7472","37.5322","",""
"14","Shelepikha","Шелепиха","10/09/2016","0","55.7575","37.5256","",""
"14","Khoroshyovo","Хорошёво","10/09/2016","0","55.7772","37.5072","",""
"14","Zorge","Зорге","04/11/2016","0","55.7878","37.5045","",""
"14","Panfilovskaya","Панфиловская","08/11/2016","0","55.7991","37.4988","",""
"14","Streshnevo","Стрешнево","10/09/2016","0","55.8136","37.4869","",""
"14","Baltiyskaya","Балтийская","10/09/2016","0","55.8258","37.4961","",""
"14","Koptevo","Коптево","01/11/2016","0","55.8397","37.5203","",""
"14","Likhobory","Лихоборы","10/09/2016","0","55.8472","37.5513","",""
